file_id,relative_path,machine_type,section,condition,domain,dataset_split,sample_rate,frames,duration_seconds,channels,subtype,near_cache_file,near_vector_count,residual_cache_file,residual_vector_count,reference_anomaly_score,candidate_anomaly_score,near_logmel_mean_db,residual_logmel_mean_db,residual_minus_near_logmel_db,feature_shift_l1_db,score_delta_b01_minus_b00,absolute_score_delta
ToyCar/test/section_00_source_test_anomaly_0000_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0000_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/3ed3856d6edcd99e4090a4469337466dee92f0325ecfc32ddc10298750567bc0.npz,340,features/3ed3856d6edcd99e4090a4469337466dee92f0325ecfc32ddc10298750567bc0.npz,340,9.81764705882353,9.928726447610297,-22.436323165893555,-22.72925567626953,-0.2929306918138686,0.4920813175141773,0.11107938878676649,0.11107938878676649
ToyCar/test/section_00_source_test_anomaly_0001_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0001_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/089271bcae31fcd9e6e88b3548113f4f27cac15019755353f9b4a7aec8a6f1e9.npz,340,features/089271bcae31fcd9e6e88b3548113f4f27cac15019755353f9b4a7aec8a6f1e9.npz,340,10.237531020220588,10.413872357536764,-22.035348892211914,-22.390432357788086,-0.3550835064752225,0.536938053704664,0.17634133731617574,0.17634133731617574
ToyCar/test/section_00_source_test_anomaly_0008_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0008_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/5507db32aac80e87c2f03558f5cadcbea04ff4da009b1f1b507a47093322ace8.npz,340,features/5507db32aac80e87c2f03558f5cadcbea04ff4da009b1f1b507a47093322ace8.npz,340,10.121980124080885,10.150851045496324,-18.901657104492188,-19.122961044311523,-0.22130373975618192,0.4020294802915091,0.028870921415439454,0.028870921415439454
ToyCar/test/section_00_source_test_anomaly_0009_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0009_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/f33c3b12d5f54f9449c0c365d0b7807930dd4087e8c2a8aa043cf284c6e6fe5c.npz,340,features/f33c3b12d5f54f9449c0c365d0b7807930dd4087e8c2a8aa043cf284c6e6fe5c.npz,340,10.316839958639706,10.224559972426473,-20.369672775268555,-20.629154205322266,-0.25948209992246085,0.4532500971593839,-0.0922799862132333,0.0922799862132333
ToyCar/test/section_00_source_test_anomaly_0010_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0010_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/acd8ac271846e2899dfeb5cd0fadf67e715726db99dbd0f524584b32d15ffc98.npz,340,features/acd8ac271846e2899dfeb5cd0fadf67e715726db99dbd0f524584b32d15ffc98.npz,340,9.928362821691175,9.966381405101105,-20.43457794189453,-20.673627853393555,-0.23905040759145937,0.42560439963232216,0.03801858340992936,0.03801858340992936
ToyCar/test/section_00_source_test_anomaly_0011_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0011_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/af3d349a4680ad4c501fff272dad44ad3886ecf37719fbaf65a3dad89d91be90.npz,340,features/af3d349a4680ad4c501fff272dad44ad3886ecf37719fbaf65a3dad89d91be90.npz,340,9.785119485294118,9.730270852481617,-21.413448333740234,-21.67333221435547,-0.2598826743527998,0.43251635400790134,-0.05484863281250085,0.05484863281250085
ToyCar/test/section_00_source_test_anomaly_0013_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0013_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/6bd13001b2385cbbd6f55181626e2282fb0a913ebdab5399337541dc9ca3bb1a.npz,340,features/6bd13001b2385cbbd6f55181626e2282fb0a913ebdab5399337541dc9ca3bb1a.npz,340,9.634465762867649,9.833899643841912,-20.44215965270996,-20.69091033935547,-0.24875077828408118,0.4119777773899043,0.1994338809742633,0.1994338809742633
ToyCar/test/section_00_source_test_anomaly_0017_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0017_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/c3a07d5e908590132227a16eb9598234f6a1ab457fe48dd9c5b033bff5812586.npz,340,features/c3a07d5e908590132227a16eb9598234f6a1ab457fe48dd9c5b033bff5812586.npz,340,9.862166245404412,9.906453354779412,-21.52242660522461,-21.782806396484375,-0.26037709891054833,0.4664269086195098,0.044287109375000355,0.044287109375000355
ToyCar/test/section_00_source_test_anomaly_0022_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0022_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/2b9fd379dc8e006af03d36c97b6fa70eb75e20e0c131e78865828e004c340a24.npz,340,features/2b9fd379dc8e006af03d36c97b6fa70eb75e20e0c131e78865828e004c340a24.npz,340,9.846269244025736,9.790144473805148,-21.710018157958984,-22.021644592285156,-0.31162540849077874,0.485069001310027,-0.05612477022058826,0.05612477022058826
ToyCar/test/section_00_source_test_anomaly_0028_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0028_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/cee10d99e8ee10f4f1a3b6070749b48336bafeb2587c6f83df0a9722a737fadc.npz,340,features/cee10d99e8ee10f4f1a3b6070749b48336bafeb2587c6f83df0a9722a737fadc.npz,340,10.112064568014706,10.256565372242648,-22.299259185791016,-22.612661361694336,-0.3134007374516156,0.47208672385093664,0.14450080422794187,0.14450080422794187
ToyCar/test/section_00_source_test_anomaly_0032_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0032_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/6bea4727ddcf1e3da347a6fc1bac0891bed0c8578f9916a25315c7fe46815691.npz,340,features/6bea4727ddcf1e3da347a6fc1bac0891bed0c8578f9916a25315c7fe46815691.npz,340,9.786602424172797,9.764886833639704,-22.284282684326172,-22.58053970336914,-0.2962561082149531,0.4913377461259209,-0.02171559053309302,0.02171559053309302
ToyCar/test/section_00_source_test_anomaly_0033_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0033_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/e21736ddb0c87a52dc45421502f77efbdc135f813af280dff578f9f145c0bc07.npz,340,features/e21736ddb0c87a52dc45421502f77efbdc135f813af280dff578f9f145c0bc07.npz,340,9.58330193014706,9.357360409007352,-20.44891929626465,-20.676815032958984,-0.22789555456892338,0.39202469596163825,-0.225941521139708,0.225941521139708
ToyCar/test/section_00_source_test_anomaly_0037_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0037_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/d2a873bd48774dd3f56224b0f6c540deb780f4e6918f1706eb7227def6ddd103.npz,340,features/d2a873bd48774dd3f56224b0f6c540deb780f4e6918f1706eb7227def6ddd103.npz,340,10.090646829044118,10.142904986213235,-18.318124771118164,-18.52528953552246,-0.20716432977237142,0.40111880488144647,0.05225815716911697,0.05225815716911697
ToyCar/test/section_00_source_test_anomaly_0039_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0039_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/3618c4f2c025b6273e05bf917aa19cef13c9a38f03c94369b8587833d14fcdf5.npz,340,features/3618c4f2c025b6273e05bf917aa19cef13c9a38f03c94369b8587833d14fcdf5.npz,340,9.933117532169115,9.851520565257353,-20.494298934936523,-20.758102416992188,-0.2638027359067602,0.43215701912915017,-0.08159696691176244,0.08159696691176244
ToyCar/test/section_00_source_test_anomaly_0042_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0042_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/52dc0fc896c0cc44d82632524908b3f22df35a8b62cbad39558a5301107ef559.npz,340,features/52dc0fc896c0cc44d82632524908b3f22df35a8b62cbad39558a5301107ef559.npz,340,9.810953584558824,9.7645263671875,-19.392385482788086,-19.61419105529785,-0.22180674041458534,0.3841648409168492,-0.04642721737132405,0.04642721737132405
ToyCar/test/section_00_source_test_anomaly_0044_noAttribute.wav,ToyCar/test/section_00_source_test_anomaly_0044_noAttribute.wav,ToyCar,section_00,anomaly,source,dev_test,16000,176000,11.0,2,PCM_16,features/bc3ab1334c2163158a0555064ec4e5df8d89d506ae1f8887dd4b772dfd7f248e.npz,340,features/bc3ab1334c2163158a0555064ec4e5df8d89d506ae1f8887dd4b772dfd7f248e.npz,340,10.511469439338237,10.50266544117647,-20.74843978881836,-20.980466842651367,-0.23202775636337772,0.4003517086713135,-0.008803998161766913,0.008803998161766913
