epoch,learning_rate,total_loss,normal_mse,fault_direction,fault_magnitude,fault_separation,retention,gradient_cosine,gradient_conflict_fraction,auxiliary_scale,tangent_transport,function_anchor,tangent_relative_error,function_anchor_ratio,optimizer_steps,skipped_optimizer_steps,amp_scale
1,2.5e-05,0.9840267738614764,0.033297744150672645,0.0,0.0,0.0,0.630203547341483,0.0,0.0,1.0,0.9490199574061803,0.00017090723640285433,0.6755167078971863,0.0599400818177632,53,2,16384.0
2,5e-05,0.9814989065442767,0.03337779528328351,0.0,0.0,0.0,0.6307519290787833,0.0,0.0,1.0,0.945363239152091,0.00027578739798627793,0.6728600510188512,0.07057595559528897,55,0,16384.0
3,5e-05,1.0003534608568465,0.03340321981055396,0.0,0.0,0.0,0.6317728135245188,0.0,0.0,1.0,0.9448255547114782,0.0022124692820278662,0.6720646389552526,0.07335774897677558,53,2,4096.0
4,4.983095894354858e-05,0.9820271782193866,0.03338170379826001,0.0,0.0,0.0,0.6319523086547852,0.0,0.0,1.0,0.9438623896326338,0.00047830845432222957,0.6714115903036936,0.07238744134562357,55,0,4096.0
5,4.9326121764495596e-05,0.9866310528346471,0.03340797319156783,0.0,0.0,0.0,0.6319818314824786,0.0,0.0,1.0,0.9423545958655222,0.0010868479959400639,0.6708054347038269,0.07455817296675274,55,0,4096.0
6,4.849231551964771e-05,0.9801092061315265,0.03340369621770723,0.0,0.0,0.0,0.6316968235969543,0.0,0.0,1.0,0.9422176830427988,0.00044878275013927904,0.6705688918658665,0.07471121817827225,55,0,4096.0
7,4.734081600808531e-05,0.9770894551958357,0.03341665467619896,0.0,0.0,0.0,0.6318898262296405,0.0,0.0,1.0,0.9412895935603551,0.0002383201364427805,0.6700810591833932,0.07429371888296946,55,0,4096.0
8,4.588719528532342e-05,0.9770675691877093,0.03339731612375805,0.0,0.0,0.0,0.6318732205799649,0.0,0.0,1.0,0.9404938863345556,0.00031763722528038284,0.6698359162466867,0.07707016498701913,55,0,4096.0
9,4.415111107797445e-05,0.975727297782898,0.03340376387323652,0.0,0.0,0.0,0.6326188986642021,0.0,0.0,1.0,0.9398161029815675,0.00025074271109354286,0.6691623915263585,0.07666251080376763,55,0,4096.0
10,4.215604094671835e-05,0.973852279663086,0.03340834211451667,0.0,0.0,0.0,0.6329008795193264,0.0,0.0,1.0,0.9392704043388368,0.00011735347698309592,0.6688246993337359,0.07672049918345043,55,0,4096.0
11,3.9928964792569655e-05,0.9745074242183142,0.03339852698360171,0.0,0.0,0.0,0.6334482602391924,0.0,0.0,1.0,0.939215820993696,0.0001893081207111079,0.6687010154042926,0.07652041550193514,55,0,4096.0
12,3.7500000000000003e-05,0.9736809421266829,0.033395798747028624,0.0,0.0,0.0,0.6334423560414996,0.0,0.0,1.0,0.9388756378037589,0.0001409505232004449,0.6682765002250672,0.078095242364066,55,0,4096.0
13,3.490199415097892e-05,0.972000733103071,0.03339990531972477,0.0,0.0,0.0,0.6337041621208191,0.0,0.0,1.0,0.9379458374977112,6.549911866230625e-05,0.6680199804987227,0.07734677301134382,55,0,4096.0
